Timestamp,Symbol,Action,Quantity,Price
2025-12-29 12:57:10,NIFTY,buy,50,19500.05
2025-12-29 13:35:39,NIFTY,buy,50,25944.5
2025-12-29 13:35:40,NIFTY,buy,50,25945.15
2025-12-29 13:35:40,NIFTY,buy,50,25944.5
2025-12-29 13:35:41,NIFTY,buy,50,25943.8
2025-12-29 13:35:41,NIFTY,buy,50,25942.9
2025-12-29 13:35:42,NIFTY,buy,50,25943.65
2025-12-29 13:35:42,NIFTY,buy,50,25943.45
2025-12-29 13:35:43,NIFTY,buy,50,25942.65
2025-12-29 13:35:43,NIFTY,buy,50,25943.2
2025-12-29 13:35:44,NIFTY,buy,50,25943.9
2025-12-29 13:35:44,NIFTY,buy,50,25944.1
2025-12-29 13:35:45,NIFTY,buy,50,25944.5
2025-12-29 13:35:45,NIFTY,buy,50,25942.5
2025-12-29 13:35:46,NIFTY,buy,50,25942.5
2025-12-29 13:35:46,NIFTY,buy,50,25944.45
2025-12-29 13:35:47,NIFTY,buy,50,25944.5
2025-12-29 13:35:47,NIFTY,buy,50,25944.35
2025-12-29 13:35:48,NIFTY,buy,50,25943.3
2025-12-29 13:35:48,NIFTY,buy,50,25943.25
2025-12-29 13:35:49,NIFTY,buy,50,25943.15
2025-12-29 13:35:49,NIFTY,buy,50,25943.0
2025-12-29 13:35:50,NIFTY,buy,50,25943.85
2025-12-29 13:35:50,NIFTY,buy,50,25943.3
2025-12-29 13:35:51,NIFTY,buy,50,25942.35
2025-12-29 13:35:51,NIFTY,buy,50,25943.35
2025-12-29 13:35:52,NIFTY,buy,50,25943.4
2025-12-29 13:35:52,NIFTY,buy,50,25942.55
2025-12-29 13:35:53,NIFTY,buy,50,25942.45
2025-12-29 13:35:53,NIFTY,buy,50,25942.35
2025-12-29 13:35:54,NIFTY,buy,50,25942.1
2025-12-29 13:35:54,NIFTY,buy,50,25942.15
2025-12-29 13:35:55,NIFTY,buy,50,25942.7
2025-12-29 13:35:55,NIFTY,buy,50,25942.25
2025-12-29 13:35:56,NIFTY,buy,50,25942.8
2025-12-29 13:35:57,NIFTY,buy,50,25942.9
2025-12-29 13:35:57,NIFTY,buy,50,25942.95
2025-12-29 13:35:58,NIFTY,buy,50,25942.15
