close,datetime,exchange_code,high,low,open,stock_code,volume
26261.25,2025-11-27 09:09:00,NSE,26261.25,26261.25,26261.25,NIFTY,0
26261.25,2025-11-27 09:10:00,NSE,26261.25,26261.25,26261.25,NIFTY,0
26261.25,2025-11-27 09:11:00,NSE,26261.25,26261.25,26261.25,NIFTY,0
26261.25,2025-11-27 09:12:00,NSE,26261.25,26261.25,26261.25,NIFTY,0
26261.25,2025-11-27 09:13:00,NSE,26261.25,26261.25,26261.25,NIFTY,0
26261.25,2025-11-27 09:14:00,NSE,26261.25,26261.25,26261.25,NIFTY,0
26235.45,2025-11-27 09:15:00,NSE,26255.4,26210.85,26252.6,NIFTY,0
26225.45,2025-11-27 09:16:00,NSE,26242.3,26222.9,26236.0,NIFTY,0
26233.9,2025-11-27 09:17:00,NSE,26237.75,26223.05,26225.25,NIFTY,0
26246.5,2025-11-27 09:18:00,NSE,26247.8,26229.05,26232.2,NIFTY,0
26251.95,2025-11-27 09:19:00,NSE,26253.8,26243.3,26245.8,NIFTY,0
26253.3,2025-11-27 09:20:00,NSE,26256.95,26248.65,26250.85,NIFTY,0
26271.15,2025-11-27 09:21:00,NSE,26271.35,26253.4,26253.4,NIFTY,0
26280.6,2025-11-27 09:22:00,NSE,26283.75,26270.45,26270.45,NIFTY,0
26288.75,2025-11-27 09:23:00,NSE,26289.6,26279.55,26280.75,NIFTY,0
26274.7,2025-11-27 09:24:00,NSE,26289.5,26274.4,26288.8,NIFTY,0
26261.8,2025-11-27 09:25:00,NSE,26276.7,26258.65,26274.2,NIFTY,0
26270.55,2025-11-27 09:26:00,NSE,26278.6,26261.15,26262.3,NIFTY,0
26279.5,2025-11-27 09:27:00,NSE,26281.05,26267.2,26269.55,NIFTY,0
26286.15,2025-11-27 09:28:00,NSE,26288.9,26275.65,26279.3,NIFTY,0
26285.15,2025-11-27 09:29:00,NSE,26289.25,26281.0,26286.6,NIFTY,0
26272.35,2025-11-27 09:30:00,NSE,26286.6,26271.25,26282.55,NIFTY,0
26277.8,2025-11-27 09:31:00,NSE,26282.25,26270.95,26271.0,NIFTY,0
26280.1,2025-11-27 09:32:00,NSE,26281.55,26276.95,26278.55,NIFTY,0
26275.4,2025-11-27 09:33:00,NSE,26281.1,26275.4,26280.75,NIFTY,0
26279.95,2025-11-27 09:34:00,NSE,26281.25,26274.35,26276.2,NIFTY,0
26279.65,2025-11-27 09:35:00,NSE,26281.5,26273.9,26279.95,NIFTY,0
26272.5,2025-11-27 09:36:00,NSE,26280.8,26272.5,26279.4,NIFTY,0
26267.6,2025-11-27 09:37:00,NSE,26274.6,26266.15,26272.15,NIFTY,0
26269.55,2025-11-27 09:38:00,NSE,26272.05,26266.35,26267.3,NIFTY,0
26249.55,2025-11-27 09:39:00,NSE,26270.45,26249.55,26268.3,NIFTY,0
26234.05,2025-11-27 09:40:00,NSE,26248.3,26233.6,26248.3,NIFTY,0
26242.5,2025-11-27 09:41:00,NSE,26254.75,26233.0,26233.4,NIFTY,0
