timestamp,symbol,open,high,low,close,total_volume
2025-12-30 11:29:00,4.1!NIFTY 50,25913.5,25914.95,25913.5,25914.95,0
2025-12-30 11:30:00,4.1!NIFTY 50,25915.4,25915.4,25906.5,25908.7,0
2025-12-30 11:31:00,4.1!NIFTY 50,25909.0,25912.6,25904.95,25912.2,0
2025-12-30 11:32:00,4.1!NIFTY 50,25912.2,25914.3,25908.05,25909.3,0
2025-12-30 11:33:00,4.1!NIFTY 50,25908.35,25908.55,25904.3,25905.9,0
2025-12-30 11:34:00,4.1!NIFTY 50,25905.85,25907.75,25894.3,25896.4,0
2025-12-30 11:35:00,4.1!NIFTY 50,25897.6,25899.6,25892.5,25897.55,0
2025-12-30 11:36:00,4.1!NIFTY 50,25896.4,25900.75,25895.85,25900.35,0
2025-12-30 11:37:00,4.1!NIFTY 50,25900.25,25901.4,25897.3,25899.6,0
2025-12-30 11:38:00,4.1!NIFTY 50,25899.4,25901.55,25896.1,25896.65,0
2025-12-30 11:39:00,4.1!NIFTY 50,25896.95,25901.4,25895.85,25897.55,0
2025-12-30 11:40:00,4.1!NIFTY 50,25898.2,25898.9,25894.45,25898.8,0
2025-12-30 11:41:00,4.1!NIFTY 50,25899.75,25902.75,25897.9,25902.6,0
2025-12-30 11:42:00,4.1!NIFTY 50,25901.15,25908.8,25901.15,25907.5,0
2025-12-30 11:43:00,4.1!NIFTY 50,25907.7,25910.2,25906.15,25908.15,0
2025-12-30 11:44:00,4.1!NIFTY 50,25908.0,25909.75,25906.95,25907.95,0
2025-12-30 11:45:00,4.1!NIFTY 50,25907.95,25917.45,25906.65,25915.5,0
2025-12-30 11:46:00,4.1!NIFTY 50,25915.15,25917.0,25909.65,25911.0,0
2025-12-30 11:47:00,4.1!NIFTY 50,25911.75,25913.35,25907.95,25910.3,0
2025-12-30 11:48:00,4.1!NIFTY 50,25910.55,25913.9,25909.0,25911.75,0
2025-12-30 11:49:00,4.1!NIFTY 50,25912.7,25914.05,25909.3,25912.1,0
2025-12-30 11:50:00,4.1!NIFTY 50,25910.6,25913.6,25907.2,25909.85,0
2025-12-30 11:51:00,4.1!NIFTY 50,25909.55,25912.5,25906.85,25910.3,0
2025-12-30 11:52:00,4.1!NIFTY 50,25910.9,25910.9,25904.35,25906.15,0
2025-12-30 11:53:00,4.1!NIFTY 50,25906.8,25909.65,25905.05,25906.0,0
2025-12-30 11:54:00,4.1!NIFTY 50,25906.4,25908.3,25902.4,25903.85,0
2025-12-30 11:55:00,4.1!NIFTY 50,25903.85,25904.25,25897.9,25898.95,0
2025-12-30 11:56:00,4.1!NIFTY 50,25899.65,25900.8,25896.05,25898.25,0
2025-12-30 11:57:00,4.1!NIFTY 50,25898.95,25900.0,25893.8,25894.95,0
2025-12-30 11:58:00,4.1!NIFTY 50,25895.75,25898.6,25892.1,25897.35,0
2025-12-30 11:59:00,4.1!NIFTY 50,25898.65,25900.85,25896.05,25898.8,0
2025-12-30 12:00:00,4.1!NIFTY 50,25899.95,25903.6,25897.65,25899.55,0
2025-12-30 12:01:00,4.1!NIFTY 50,25900.1,25900.55,25894.3,25895.0,0
